tr	ota
geçmez akçe	گچمز آقچه
dolma kalem	طولمه قلم
mukavele-name	مقاوله نامه
katil-i muhti	قاتل مخطي
iade-i itibar	اعادۀ اعتبار
bünud	بنود
arıklama	آريقلامه 
nefes darlığı	نفس طارلغي
sadıkan	صادقان
tesirli	تأثيرلي
tefrika roman	تفرقه رومان
akta	اقطع
postlu	پوستلي
cadd	جاد
gavurlaşmak	گاورلاشمق
cüruh	جروح
dana humması	طانه حماسي
tadriye	تضريه
açmak	آچمق
edvar-perdaz	ادوار پرداز
alakadar olmak	علاقه دار اولمق
ısmat	اصمات
ihtimal-i zati	احتمال ذاتي
misina	ميسينه
boru çiçeğigiller	بورو چيچگيگيللر
yontuk düz	يونتوق دوز
nim-zulmet	نيم ظلمت
sekiz on	سكز اون
lenfatizm	لنفاتيزم
lağv	لغو
emran	امران
devlet baba	دولت بابا
köni	كوني
ihras	اخراس
vata	وطا
yamaklık	ياماقلق
manzur	منظور
nilay	نيل آي
buğulaşmak	بوغولاشمق
aksülümen	آق سولومن
hidroksit	هيدروقسيت
şırlama	شيرلامه 
ecliyet	اجليت
iman-ı icmali	ايمان اجمالي
kerdese	كردسه
dalgasız	طالغه سز
muhammed	محمد 
nikahter	نيك اختر
teseyyüb	تسيب
inkibab	انكباب
mebi	مبيع
biet	بيئت
durali	طور علي
konjonktür	قونژونكتور
arak	اعراق
yerlileşme	يرليلشمه
matamih	مطامح
fasid	فاسد
saç	ساج
bilad-ı amire	بلاد عامره
börtülmek	بورتولمك
sokulu	صوقولي
dirilmek	ديريلمك
mısbah	مصباح
kar-gah	كارگاه
mahcuc	محجوج
yokçu	يوقجي
güçleştirme	گوچلشديرمه
cay-baş	جاي باش
tahlis	تخليص
kirmastı	كرماستي
üveys	اويس
zambakgiller	زنبقگيللر
navi	ناوي
emraz-ı asabiye	امراض عصبيه
örtülü omurgalılar	أورتولي اومورغه ليلر
rahatsızlaşmak	راحتسزلاشمق
deyrifur	ديرفور
kehrüba	كهربا
saad	سعد
genel yetenek	گنل يته نك
maceracılık	ماجراجيلق
islam hukuku	اسلام حقوقي
ishan	اسخان
parsellenme	پارسللنمه
guzz	غز
içlenmek	ايچلنمك
bi-dad-geri	بي دادگري
ümran	عمران
abese suresi	عبس سوره سي
madagaskarlı	ماداغاسقارلي
amirallik	آميراللك
süfre	سفره
münakıd	منعقد
giyim kuşam	گييم قوشام
üzüm şırası	أوزوم شيره سي
açık şehir	آچيق شهر
tefahhum	تفحم
sondalamak	صونده لامق
denge	دنگه
şem	شمع
hele	هله
harkürre	خركره
serengül	سرن گل
yaz yağmuru	ياز ياغموري
seçenek	سچه نك
tırıl	طيريل
burgu makarna	بورغو ماقارنه
yemin-i mutlak	يمين مطلق
dil-asa	دل آسا
ulcum	علجوم
pışpışlamak	پيشپيشلامق
suba	صبه
butikçilik	بوتيكجيلك
tig-i bürran	تيغ بران
göçmen	گوچمن
kalorifercilik	قالوريفرجيلك
enfüsi	انفسي
sahir-pişe	ساحرپيشه
boralı	بوره لي
debistan	دبستان
nik-bin	نيكبين
mahbubiyet	محبوبيت
lebz	لبز
tavaf etmek	طواف ايتمك
kıl	قيل
hımre	خمره
cenaze namazı	جنازه نمازي
dernekçilik	درنكجيلك
hurkuf	حرقوف
koaptör	قوآپتور
kütük	كوتوك
gark olmak	غرق اولمق
evrad	اوراد
hurremi	خرمي
ikiz ünlü	ايكيز أوڭلي
kevahin	كواهن
zuyuf	ضيوف
sincanlu	سنجانلو
teyellenmek	تگللنمك
dugata	ضغاطه
heyca-gah	هيجاگاه
hamaim	حمائم
istiksar	استكثار
tardin	تردين
verel	ورل
mahmudpaşa	محمود پاشا
müstakbilin	مستقبلين
kentli	كندلي
haic	هائج
hanz	حنذ
bıga	بغا
zerkülah	زركلاه
ciro etmek	جيرو ايتمك
yapıştırma	ياپيشديرمه 
çimen	چمن
tedhiş	تدهيش
beklenti	بكلنتي
gözene	گوزه نه
reislik	رئيسلك
habail-i mevt	حبائل موت
kararlaşmak	قرارلاشمق
öfkeleniş	أوفكه لنيش
gamid	غامد 
tersa-beçe	ترسابچه
bekri	بكري
sökna	سوكنه
ennecmüs-sakıb	النجم الثاقب
cay-nişin	جاينشين
uzak benzeşme	اوزاق بڭزشمه
merhaba	مرحبا
insansılar	انسانسيلر
havleka	حولقه
karın zarı	قارين زاري
tavvafe	طوافه
erzurum	ارضروم
kaydırmak	قايديرمق
şami	شامي
tahazzüb	تحزب
ağustos	آغستوس
tesbih	تثبيه
hicce	حجه
harun	حرون
refahiye	رفاهيه
himaye	حمايه
beriyye	بريه
sela	سلع
fülk	فلك
taahhüd-name	تعهدنامه
dahiliye	داخليه
gailesizlik	غائله سزلك
abes	عبث
sernaz	سرناز
müreccah	مرجح
ahiret adamı	آخرت آدمي
tekzib	تكذيب
harf-i menkut	حرف منقوط
çin gülü	چين گلي
müdn	مدن
gayr-i müslim	غير مسلم
ısrah	اصراخ
temettü	تمتع
bankerzede	بانكرزده
yorulma	يورولمه 
kamet-i kıymet	قامت قيمت
casum	جاثوم
kişre	كشره
müntakim	منتقم
meşati	مشاتي
cemül-cevami	جمع الجوامع
hisabi	حسابي
link	لينك
zahife	زاحفه
taht-ı belkis	تخت بلقيس
bağışık	باغيشيق
kalorimetre	قالوريمتره
balo	بالو
müsademe-i efkar	مصادمۀ افكار
teskil	تثقيل
tekeyyüf	تكيف
mensubiyet	منسوبيت
fermend	فرمند
paslatmak	پاسلاتمق
baş dönmesi	باش دونمه سي
balayı	بالايي
mütesakkıb	متثقب
sorumsuzlaşma	صورومسزلاشمه 
tansib	تنصيب
pür-emvat	پراموات
asfa	اصفا
amca	عمجه
huzruf	خذروف
ihtiyatlı olmak	احتياطلي اولمق
layiha-i kanuniye	لايحۀ قانونيه
icatçı	ايجادجي
müddahar	مدخر
çarpım tablosu	چارپيم طابلوسي
atf-ı beyan	عطف بيان
yontulmak	يونتولمق
muntazam	منتظم
cingöz	جن گوز
hışt-zen	خشتزن
kem göz	كم گوز
temeşşi	تمشي
urfa çıbanı	اورفه چيباني
tegavün	تغاون
saraylı	سرايلي
kayakçılık	قاياقجيلق
iblas	ابلاس
lakm	لقم
daül-efrenc	داء الافرنج
havuzlama	حوضلامه 
alacabalıkçıl	آلاجه باليقچيل
mahak	محك
ceramika	جرامقه
görele	گوره له
kozkışla	قوزقيشله
arkasız	آرقه سز
solma	صولمه 
bezl-i nükud	بذل نقود
secr	سجر
tesliye-i hatır	تسليۀ خاطر
arafat	عرفات
besasa	بصاصه
gaz maskesi	غاز ماسكه سي
ısıyayar	ايصي يايار
dilbaz	دلباز
hübel	هبل
mahaçıl	ماخچيل
sevret	سورت
yemek odası	يمك اوطه سي
hekk	هك
ısar	اعصار
aldatılmak	آلداتيلمق
kreasyon	قره آسيون
soru işareti	صورو اشارتي
açıklama cümlesi	آچيقلامه جمله سي
havadar	هوادار
domuzlanma	طوموزلانمه 
tutuklanma	طوتوقلانمه 
kerteleme	كرته له مه
selef-i salihin	سلف صالحين
yavanlaşmak	ياوانلاشمق
ictirar	اجترار
akevka	عكوكع
sücfe	سجفه
izzül-arabi	عز العربي
paspaslanmak	پاصپاصلانمق
tahyil	تخييل
hırslanma	حرصلانمه 
daracık	طاراجق
ayal	عيال
gevare	گواره
yauk	يعوق
ergime yasası	ارگيمه ياساسي
hod-pesend	خودپسند
pergar	پرگار
misam	معصم
cönk	جونك
üfürük	أوفوروك
ekşimsi	اكشيمسي
lesaset	لصاصت
tepe camı	تپه جامي
eğlendiriş	اگلنديريش
dikenli	ديكنلي
yaramazlaşma	يارامازلاشمه 
çobantarağı	چوبان طراغي
urla	اورله
yürürlük	يورورلك
sessiz	سسسز
menkub	منكوب
sehanet	ثخانت
vakitli vakitsiz	وقتلي وقتسز
bayin	باين
hüdb	هدب
ser-agaz	سر آغاز
azürde	آزرده
suizan	سوء ظن
çeltikçi	چلتيكجي
kımıldayış	قيميلداييش
pek yüzlü	پك يوزلي
mareşallik	ماره شاللك
neşvat	نشوات
afacanlaşmak	آفاجانلاشمق
münim-i hakiki	منعم حقيقي
mantoluk	مانطولق
kaldırılmak	قالديريلمق
ölü yıkama	أولو ييقامه
asare	آساره
marazlık	مرضلق
haseb	حسب
micmer	مجمر
minder	مندر
yarek	يارك
akköprü-hoyran	آق كوپري هويران
nemek-perver	نمكپرور
şefevat	شفوات
reh	ره
tahassüs	تحسس
urangu	اورانغو
açıktan	آچيقدن
paslandırma	پاسلانديرمه 
sülfatlaşmak	سولفاتلاشمق
saat açısı	ساعت آچيسي
mükalebe	مكالبه
rikabiye	ركابيه
mukabele	مكابله
kavanoz	قوانوز
irap	اعراب
vekel	وكل
iç denge	ايچ دنگه
bevne	بونه
falihayır	فال خير
ana dil	آنا ديل
hırrit	خريت
mütehassıslık	متخصصلق
rükebat	ركبات
andele	عندله
mücaad	مجعد
mukassi	مقسي
aynısefa	عين صفا
sumut	صموت
ilm-i usul	علم اصول
biçki	بيچكي
safevi	صفوي
mehib	مهيب
tahta	تخته
dakaik	دقائق
ecyed	اجيد
menşurlu	منشورلي
nevadi	نوادي
mütekeffilin	متكفلين
belagat-füruş	بلاغتفروش
hint sarısı	هند صاريسي
muhattata	محططه
kozmopolit	قوزموپوليت
dest-mal	دستمال
bin	بن
mütenemmil	متنمل
bedbaht olmak	بدبخت اولمق
döndü	دوندي
zucret-ver	ضجرتور
alkollü	آلقوللي
istiflenmek	ايستيفلنمك
soyselçuk	صوي سلچوق
latuhsa	لاتحصا 
gonokok	غونوقوق
isbal	اسبال
menfes	منفس
velvele-endaz	ولوله انداز
boyabat	بوي آباد
müsamaha-kar	مسامحه كار
ezyal	اذيال
kalın kafalılık	قالين قفاليلق
tereyy	تري
gars	غرس
öztaş	أوز طاش
tavan penceresi	طاوان پنجره سي
müsveddelik	مسوده لك
berk	برك
göndermek	گوندرمك
mahrurane	محرورانه
siyaset	سياست
perlit	پرليت
yalaz	يالاز
liyakat-mend	لياقتمند
salçalı	صالچه لي
iltihaplanmak	التهابلانمق
müzevveb	مذوب
mukhem	مقحم
serasime-gi	سراسمگي
yapılmak	ياپيلمق
tayin	تعيين
kola	قوله
ervam	اروام
ıhn	عهن
nükleer	نوكله ئر
kerbela	كربلا
maşukat	معشوقات
müteassif	متعسف
sulatma	صولاتمه 
ictima-ı neyyireyn	اجتماع نيرين
duygusuz	دويغوسز
mikoz	ميقوز
müsteslimin	مستسلمين
sorgusuz	صورغوسز
sarıkuyruk	صاري قويروق
çubuklu	چوبوقلي
dirliksizlik	ديرلكسزلك
perinçek	پرينچك
ölüm	أولوم
ruhsare	رخساره
kese kağıdı	كيسه كاغدي
salih	صالح
pasban	پاسبان
menhub	منهوب
müşfik	مشفق
güdelemek	گوده له مك
varsağı	وارساغي
tagaşşi	تغشي
cansın	جانسڭ
can-güzar	جانگذار
na-mihr-bani	نامهرباني
vazzah	وضاح
didiniş	ديدينيش
kelseme	كلثمه
pehlivan yakısı	پهلوان ياقيسي
sokuşturma	صوقوشديرمه 
yalancı öd ağacı	يالانجي أود آغاجي
milhab	ملحب
ongunculuk	اونغونجيلق
karlıova	قارلي اووه
hashas	خثخث
tecelli-i sıfati	تجلئ صفاتي
maruf-ı kerhi	معروف كرخي
dua-gu	دعاگو
arz-ı rum	ارض روم
ümmühani	ام هاني
çarpıntısız	چارپينتيسز
diğergam	ديگرگام
kurt mantarı	قورت مانطاري
adem	آدم
füsat	فساط
kadifeleşmek	قطيفه لشمك
deniz haritası	دڭز خريطه سي
istihale etmek	استحاله ايتمك
yare	ياره
kalatur-rumadi	قلعة الرمادي
himl	حمل
sur-na	سورنا
girda-gird	گردا گيرد
kavilleşmek	قوللشمك
ıhtimar	اختمار
gazn	غضن
büyut	بيوت
hatır hutur	خاتير خوتور
hafir	حفير
iane-i cihadiye	اعانۀ جهاديه
mübarat	مبارات
çatkın	چاتقين
ihrac	اخراج
panter	پانتر
şinik	شينيك
zaine	ظعينه
tandır böreği	تاندير بورگي
niki	نيكي
lale-zar	لاله زار
seyislik	سايسلك
bayırlaşma	باييرلاشمه 
ısfahan	اصفهان
nısf	نصف
şaile	شائله
resen	رسن
zağferanbolu	زغفرانبولي
el tası	ال طاسي
kenif	كنيف
zulmet-i münevvere	ظلمت منوره
şebec	شبج
sınır boyu	صينير بويي
mahkeme-i kübra	محكمۀ كبرا 
zamanet	ضمانت
hursendane	خرسندانه
kabullenmek	قبوللنمك
sahne olmak	صحنه اولمق
sahibül-hüccet	صاحب الحجت
tecdid-i biat	تجديد بيعت
ekvan	اكوان
külliyen yalan	كليًا يالان
geçirimlilik	گچيريمليلك
nitroselüloz	نيترو سلولوز
yek-ruz	يكروز
beyzatüd-dik	بيضة الديك
yamçılı	يامچيلي
hünba	هنبا
fa	فا
yaranmak	يارانمق
müfiz	مفيض
serkeşlik	سركشلك
tam tarife	تام تعريفه
sühan-ran	سخنران
artakalmak	آرته قالمق
zengel	زنگل
reel	رئل
boğazkesen	بوغاز كسن
fakıa	فاقعه
hübu	هبوع
uztav	اوز تاو
ürpertici	أورپرتيجي
remy	رمي
ayarlama	عيارلامه 
vuruş	ووروش
soma	صومه
şeb-i arus	شب عروس
hoşa	خوشا
orta terim	اورته تريم
sarkom	صارقوم
fırınlanmak	فرونلانمق
şule-bar	شعله بار
arbede-sazi	عربده سازي
güdükleşme	گودوكلشمه
külhancı	كولخانجي
vazi	وضيع
say	سعي
gazavat-name	غزواتنامه
bellisiz	بلليسز
tiltal	تلتال
sızış	صيزيش
elektriklenme	الكتريكلنمه
nebh	نبه
bigal	بغال
ebad-ı selase	ابعاد ثلاثه
bahzec	بحزج
tenfir	تنفير
pist	پيست
muhayyeben	مخيبًا
kervan	كروان
ersan	ارصان
mütearif	متعارف
yük vagonu	يوك واغوني
fam	فعم
bürüme	بورومه
sakıbe	ثاقبه
dübar	دبار
müngalika	منغلقه
sabıkun	سابقون
tenasühiyyun	تناسخيون
ictima-ı zıddeyn	اجتماع ضدين
sevcan	سوجان
tahme	طحمه
araştırı	آراشديري
felsefe-i beyan	فلسفۀ بيان
toplumsal sınıflar	طوپلومسال صنفلر
panzer	پانزر
mutazammın	متضمن
fıkarat-ı anife	فقرات آنفه
iftiham	افتهام
bel	بل
kınanmak	قينانمق
yılan balığıgiller	ييلان باليغيگيللر
etmeseh	اطمسه
berkelyum	بركليوم
hödükleşmek	هودوكلشمك
ehl-i hükumet	اهل حكومت
feletat	فلتات
boyama kitabı	بويامه كتابي
destaran	دستاران
meab	معاب
nara atmak	نعره آتمق
ahz-ı misak	اخذ ميثاق
mak	ماق
müftülük	مفتيلك
dizlik	ديزلك
elektroansefalografi	الكترو آنسه فالوغرافي
bad-seyr	بادسير
kavilya	قاويليه
muğterik	مغترق
iclinbab	اجلنباب
hadde-i tedkik	حادۀ تدقيق
hergele	خرگله
imrac	امراج
vataf	وطف
bolu	بولي
çanak	چاناق
anofel	آنوفل
kurşunlaşma	قورشونلاشمه 
ayazlatmak	آيازلاتمق
ekseriyetle	اكثريتله
yaprak arısı	ياپراق آريسي
isbat-ı vücud	اثبات وجود
hasb	حسب
tornavida	طورنه ويده
harp malulü	حرب معلولي
kostik	قوستيك
bellem	بللم
adem-i mübalat	عدم مبالات
asmane	آسمانه
eşhas	اشخاص
paraşütçü	پاراشوتجي
mukadderat-ı hayatiye	مقدرات حياتيه
hukuk-ı islamiye	حقوق اسلاميه
muravaga	مراوغه
havalı	هوالي
yılkan	ييل قان
kapamaç	قپاماچ
uykuluk	اويقولق
hudut dışı	حدود طيشي
calib-i merhamet	جالب مرحمت
gur-hane	گورخانه
nişan yüzüğü	نشان يوزوگي
etribe	اتربه
tanıtılış	طانيتيليش
cehdetme	جهد ايتمه
çarşıbaşı	چارشي باشي
mektup	مكتوب
insiyaki	انسياقي
yoğurt	يوغورت
çotra	چوتره
diskjokey	ديسك ژوكي
vahat	واحات
kozmoğrafya	قوزموغرافيه
zemine	زمينه
sukuti	سقوطي
üst deri	أوست دري
revahi	رواهي
başeğmez	باش أگمز
hilki	خلقي
samil	صامل
siyer-i nebi	سير نبي
muhrib	مخرب
metaf	مطاف
ıslanış	ايصلانيش
iname	انامه
kalburcu	قالبورجي
tesafün	تثافن
şaik	شائق
açılay	آچيلاي
tekgül	تك گل
düzeltmen	دوزلتمن
meserret-aver	مسرت آور
canib	جانب
hisar-peçe	حصار پچه
sonradan görmüş	صوڭره دن گورمش
mulin	معلن
hayırseverlik	خير سورلك
selb	سلب
seyahate çıkmak	سياحته چيقمق
karbonatlı	قاربوناتلي
sürerlik	سوررلك
çevrili	چوريلي
yerel saat	يرل ساعت
tezazu	تزعزع
teşabühat	تشابهات
urgancı	اورغانجي
gestapo	گستاپو
kişt-kar	كشتكار
fetişist	فتيشيست
eryılmaz	ار ييلماز
serzeniş	سرزنش
tekleşme	تكلشمه
baki	باقع
dal kılıç	طال قيليچ
kaidül-cebel	قاعد الجبل
müsteskal	مستثقل
müngazz	منغض
uhde	عهده
hadme	حدمه
hükumet-i adliye	حكومت عدليه
kurşunileşme	قورشونيلشمه
kapalı yüzme havuzu	قپالي يوزمه حوضي
veysiye	ويسيه
nefs-i mardiye	نفس مرضيه
selamlanmak	سلاملانمق
barok müzik	باروق موزيك
tağut	طاغوت
boylam	بويلام
çör çöp	چور چوپ
kurtaran	قورتاران
cephe gerisi	جبهه گريسي
walkman	وولقمن
kolalama	قوله لامه 
tahs	طهس
nıtab	نطاب
müvessah	موسخ
dalaş	طالاش
polathane	پولادخانه
geren	گرن
aşv	عشو
birazı	برازي
savaştepe	صاواش تپه
işkembeli	اشكمبه لي
süngüleşme	سونگولشمه
dörtlü	درتلي
üç birlik kuralı	أوچ برلك قورالي
mezbelelik	مزبله لك
zinnureyn	ذي النورين
top sakallı	طوپ صقاللي
kalla	قلاع
rafız	رافض
kağşama	قاغشامه
dirlik	ديرلك
boa	بوآ
ukala	عقلا
banallik	باناللك
muştuluk	موشتولق
erinme	ارينمه
timurkan	تيمور قان
başar	باشار
kasabalı	قصبه لي
kına	قينا
mendel	مندل
arabistan	عربستان
sıffin	صفين
ham hum	خام خوم
mütehassisane	متحسسانه
aslah tarik	اصلح طريق
hanabile	حنابله
tekasül	تكاسل
omuzlama	اوموزلامه 
hortumlular	خرطومليلر
neam-la	نعم لا
müstefsir	مستفسر
emanet dolabı	امانت طولابي
bala-pervaz	بالاپرواز
sigortalanma	سيغورطه لانمه 
hezi	هزيع
belinleme	بلينله مه
hurum	حرم
pünçüşk	پنچشك
istisar	استيسار
müzlec	مزلج
regülatör	رگولاتور
hüşad	حشاد
ısparta	اسپارطه
kurnaz	قورناز
yığma	ييغمه 
elhan-ı şita	الحان شتا 
pasak	پاساق
tuğunda	ديغنده
hırpadak	خيرپاداق
biye	بييه
mere	مرأه
bi-keran	بي كران
tevhiden	توحيدًا
sevam	سوام
zımbalanma	زينبه لانمه 
takallüd	تقلد
havba	حوبا
müzennid	مزند
süpürgecilik	سوپورگه جيلك
anşet	عنشط
müzahrefat	مزخرفات
mubsırat	مبصرات
hissiyat-ı hafiye	حسيات خفيه
ruj	روژ
müracceb	مرجب
mücmel	مجمل
pantuflacılık	پانتوفله جيلق
daktilo	داقتيلو
paraca	پاره جه
ileri geri	ايلري گري
cevabi	جوابي
dizgeli	ديزگه لي
füme	فومه
fizyokratlık	فيزيوقراتلق
para kısıtlayıcı	پاره قيصيتلاييجي
vecd-alud	وجد آلود
tahabbüb	تحبب
ejderha	اژدرها
fasit	فاسد
höyük	هويوك
medeniye	مدنيه
pelid	پليد
yalazlamak	يالازلامق
eşitleşmek	اشيتلشمك
ıztırar	اضطرار
boylanış	بويلانيش
deha-yı fenni	دهاي فني
elektriksiz	الكتريكسز
fitilsiz	فتيلسز
visad	وساد
tıla	طلا
solay	صولاي
tel	تل
tefasuh	تفاصح
kürk	كورك
diyas	دياس
dolaşdır	دولاشدير
özümsenme	أوزومسنمه
kabe-i mükerreme	كعبۀ مكرمه
oksu	اوق صو
şip	شيپ
bahha	بحا
kehila	كحيلا
meşher-i azam	مشهر اعظم
ayşekadın	عائشه قادين
hoca tahsin efendi	خواجه تحسين افندي
plakacılık	پلاقه جيلق
havalanma	هوالانمه 
fersizleşmek	فرسزلشمك
cüzuliye	جزوليه
heşt	هشت
tekelci ana malcılık	تكلجي آنا مالجيلق
cebel-i bereket	جبل بركت
cedel-gah	جدلگاه
tenvil	تنويل
spor kesesi	سپور كيسه سي
düzenci	دوزنجي
laf ebesi	لاف ابه سي
riclül-bahr	رجل البحر
vemye	وميه
menahit	مناحت
allamak	آللامق
teşeffu	تشفع
zengule-nevruz	زنگوله نوروز
minu	مينو
terbab	ترباب
şekillendirmek	شكللنديرمك
hafer	خفر
mandarin	ماندارين
tefatuh	تفاتح
mum boya	موم بويه
ihtibas	احتباس
tazir-i ukubet	تعزير عقوبت
hubr	خبر
konut	قونوت
zag-beçe	زاغبچه
nazile	نازله
şebabiyet	شبابيت
akçora	آق چوره
satlil	صاتليل
kuşaman	قشعمان
eminönü	امين أوڭي
avutmak	آووتمق
merdüm-giriz	مردمگريز
lando	لاندو
nüame	نعامه
kayık yaka	قاييق ياقه
menteşe	منتشا
abist	آبست
midkas	مدقس
behbehi	بهبهي
kılde	قلده
hacid	هاجد
ağızlık	آغيزلق
akab-gir	عقبگير
tenezzül	تنذل
tamah-kar	طمعكار
seyyiat	سيئات
çarptırış	چارپديريش
çalımlanış	چاليملانيش
biperva	بي پروا
zenberek	زنبرك
taşıttırma	طاشيتديرمه 
sözel	سوزل
kedme	كدمه
secel	ثجل
bakışımsız	باقيشيمسز
meyve-dar	ميوه دار
başhakem	باش حكم
iftikad	افتقاد
şagird	شاگرد
şarbon	شاربون
sahib-kıran	صاحب قران
mücerrese	مجرسه
abgun	آبگون
külkül	كلكل
sinir doku	سيڭير طوقو
karşılaştırmalı dil bilimi	قارشيلاشديرمه لي ديل بيليمي
kebuteran	كبوتران
dağbus	ضغبوس
yuşa	يوشع
müterahi	متراحي
muhazzil	مخذل
ketumiyet	كتوميت
edebiyat yapmak	ادبيات ياپمق
kademiye	قدميه
memleketçilik	مملكتجيلك
kalkışma	قالقيشمه 
cef	جفؤ
hıçkırma	هيچقيرمه 
haşiye	حاشيه
damen-gir	دامنگير
kedin	كدن
emir kipi	امر كيپي
mütecazib	متجاذب
muanede	معانده
kaplumbağa yürüyüşü	قاپلومباغه يورويوشي
nabti	نبطي
aksamak	آقسامق
oynaşmak	اويناشمق
acı ağaç	آجي آغاچ
yalvaçlık	يالاواچلق
mahur-aşiran	ماهور عشيرانه
ahuvan	آهوان
koku alma organı	قوقو آلمه اورغاني
hicaz	حجاز
hüsn-i hal	حسن حال
ileri uç	ايلري اوچ
şirretlik	شرتلك
udal	عضال
satıbey	صاتي بگ
trabzon hurması	طرابزون خرماسي
şatratül-ammara	شطرة العماره
lü	لي
feame	فعامه
gevezelenme	گوه زه لنمه
kerem-kar	كرمكار
feyz-yab	فيضياب
özgecil	أوزگه جيل
serir-nişin	سرير نشين
taammüden cürüm	تعمدًا جرم
milha	ملحه
bilayan	بالعيان
kabahat	قباحات
eynel-mefer	اين المفر
alelıtlak	علي الاطلاق
güllabici	گلابيجي
nakız	نقض
zaza	زعزع
ela	الا
müteatıf	متعاطف
başka	باشقه
ezfile	ازفله
kötüleme	كوتوله مه
ıhdac	اخداج
ikinci	ايكنجي
icap etmek	ايجاب ايتمك
bevvab	بواب
nehire	نحيره
ısfaks	اصفقس
ihsan	احسان
foça	فوچه
kefalet bil-mal	كفالت بالمال
kabzımallık	قابض ماللق
somak	صوماق
sungur	صونغور
kaf	قعف
yuları eksik	يولاري اكسيك
asfencah	عسفنجح
düşmanlık	دوشمانلق
didinmek	ديدينمك
rikk	رق
muskıt	مسقط
aklamak	آقلامق
kale gibi	قلعه گبي
yalvarmak	يالوارمق
müdam-kare	مدامكاره
ehl-i tahkik	اهل تحقيق
şecere-i maklu	شجرۀ مقلوع
karmaşma	قارماشمه 
mutezi	معتزي
laisizm	لائيسيزم
şoke	شوكه
özgüler	أوز گولر
seray-dar	سرايدار
kıyam	قيام
asilik	عاصيلك
yek-çeşme	يك چشمه
seyf-i meslul	سيف مسلول
cüra	جرعه
amaçlanmak	آماچلانمق
setretmek	ستر ايتمك
elektrik direği	الكتريك ديرگي
haince	خائنجه
pürmelal	پرملال
sukm	سقم
cam-ger	جامگر
orman tavuğu	اورمان طاووغي
şut	شوط
künne	كنه
ağa yamağı	آغا ياماغي
ebedileşme	ابديلشمه
ahzem	احزم
sehine	سخينه
hayriye	خيريه
tadabbüb	تضبب
güdüm bilimi	گودوم بيليمي
feshedilme	فسخ ايديلمه
işaretleşmek	اشارتلشمك
bergeşide	برگشيده
tekettül	تكتل
buzul taş	بوزول طاش
fülfül	فلفل
müddet	مدت
tersa	ترسا
şayia	شايعه
kıdr	قدر
razmol	رازمول
harb-gir	حربگير
su bidonu	صو بيدوني
hiçleştirmek	هيچلشديرمك
sehail	سحائل
tenezzül	تنزل
sitem-dide	ستمديده
necdet	نجدت
düzlemsel	دوزلمسل
neon	نئون
şevk	شوق
galiye-gun	غاليه گون
badanalatmak	بادانه لاتمق
kavlatma	قاولاتمه 
hissiyet	حسيت
kum kekliği	قوم ككليگي
hems	همس
kağıthane	كاغدخانه
anahtarcı	آناختارجي
ızazat	عضاضت
bit-tav	بالطوع
sünnet etmek	سنت ايتمك
mayıs	مايس
padergil	پادرگل
sayılma	صاييلمه 
dokunma duyusu	طوقونمه دويوسي
girifte-gi	گرفتگي
şekercilik	شكرجيلك
müsteşfi	مستشفي
muhaceze	مهاجزه
inkıza-yı müddet	انقضاي مدت
yılhan	ييلخان
veto	وتو
bast-ı yed	بسط يد
huşe-i engur	خوشۀ انگور
samd	صمد
sema	سماع
mermer şahi	مرمر شاهي
cinab	جناب
bünyesi zayıf	بنيه سي ضعيف
şuhh	شح
ekmel	اكمل
uzak akraba	اوزاق اقربا
kesikleşme	كسيكلشمه
mesluh	مسلوخ
ercivan	ارجوان
testerelemek	دستره له مك
yön zarfı	يوڭ ظرفي
dikun-nefes	ضيق النفس
ıskala	ايصقاله
felahan	فلاخان
yediemin	يد أمين
müstemlekeci	مستملكه جي
bedahet	بداهت
yer merkezli	ير مركزلي
tefrik	تفريق
sermelek	سرملك
agu	آغو
nutu	نطوع
halif	حليف
kolalanma	قوله لانمه 
çeşm-aviz	چشم آويز
idrab	اضراب
binaen ala-zalik	بناءً علي ذلك
hasıl olmak	حاصل اولمق
yemani	يماني
kentleşmek	كندلشمك
kesmik	كسميك
teracu	تراجع
fasye	فصيه
zamane çocuğu	زمانه چوجوغي
buton	بوطون
serkuy	سركوي
haksız	حقسز
örüm	أوروم
oysa	اويسه
zümre toplantısı	زمره طوپلانتيسي
hub	خوب
dücace	دجاجه
itam	اتئام
torpidobot	تورپيدو بوط
nehnehe	نهنهه
taaccül	تعجل
kodaman	قودامان
bedi	بديع
dişi klişe	ديشي قليشه
sürçmek	سورچمك
göçmek	گوچمك
dostluk etmek	دوستلق ايتمك
tertip	ترتيب
tangırdamak	طانغيردامق
bezistan	بزستان
etekleme	اتكله مه
fehd	فهد
beyze	بيضه
müstehill	مستحل
iddet-i haml	عدت حمل
perh	پرخ
gerilmek	گريلمك
şerer-nak	شررناك
diz	ديز
maruz olmak	معروض اولمق
üstur	استور
öksürme	أوكسورمه
çitme	چيتمه
bürülü	بورولي
hüfat	هفات
ecneb	اجنب
zelef	ذلف
dopdolu	طوپ طولي
onuncu	اوننجي
kafiye-perdaz	قافيه پرداز
gümrah	گمراه
göçelge	گوچلگه
bağlama	باغلامه 
lefh	لفح
rukde	رقده
muhcen	محجن
varta	ورطه
barata	باراته
tedai-i efkar	تداعئ افكار
saib	ثائب
hüzünleniş	حزنلنيش
